date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2019-12-29,1714,0.0,0,0,0,0,1,0,0,0,0
2020-01-05,2506,0.01,0,0,0,0,1,0,0,0,0
2020-01-12,2870,0.01,1,0,0,0,1,0,0,0,0
2020-01-19,7374,0.25,0,1,0,0,1,0,0,0,0
2020-01-26,30409,0.5,1,0,0,0,1,0,0,0,0
2020-02-02,5152,0.15,1,0,0,0,1,0,0,0,0
2020-02-09,6993,0.25,0,0,0,0,1,0,0,0,0
2020-02-16,2857,0.01,1,0,0,0,1,0,0,0,0
2020-02-23,9823,0.26,1,0,0,0,1,0,0,0,0
2020-03-01,9807,0.26,0,0,0,0,1,0,0,0,0
2020-03-08,3759,0.01,0,0,0,0,1,0,0,0,0
2020-03-15,5999,0.01,0,0,0,0,1,0,0,0,0
2020-03-22,5403,0.0,0,0,0,0,1,0,0,0,0
2020-03-29,4258,0.01,0,0,0,0,1,0,0,0,0
2020-04-05,3719,0.01,0,0,0,0,1,0,0,0,0
2020-04-12,2914,0.01,0,0,0,0,1,0,0,0,0
2020-04-19,3275,0.01,0,0,0,0,1,0,0,0,0
2020-04-26,3251,0.01,0,0,0,0,1,0,0,0,0
2020-05-03,3189,0.01,0,0,0,0,1,0,0,0,0
2020-05-10,3298,0.01,0,0,0,0,1,0,0,0,0
2020-05-17,3411,0.01,0,0,0,0,1,0,0,0,0
2020-05-24,3424,0.01,0,0,0,0,1,0,0,0,0
2020-05-31,3416,0.01,0,0,0,0,1,0,0,0,0
2020-06-07,3181,0.01,0,0,0,0,1,0,0,0,0
2020-06-14,3339,0.01,0,0,0,0,1,0,0,0,0
2020-06-21,3425,0.01,0,0,0,0,1,0,0,0,0
2020-06-28,3279,0.01,0,0,0,0,1,0,0,0,0
2017-02-05,39767,0.3,0,1,1,0,0,1,0,0,0
2017-02-12,49090,0.3,1,0,0,0,0,1,0,0,0
2017-02-19,41044,0.3,1,0,1,0,0,1,0,0,0
2017-02-26,53637,0.3,0,0,0,0,0,1,0,0,0
2017-03-05,13568,0.0,0,1,0,0,0,1,0,0,0
2017-03-12,48230,0.3,1,0,0,0,0,1,0,0,0
2017-03-19,47632,0.3,1,0,0,0,0,1,0,0,0
2017-03-26,52458,0.3,1,0,0,0,0,1,0,0,0
2017-04-02,48624,0.3,0,1,0,0,0,1,0,0,0
2017-04-09,58678,0.3,1,0,0,0,0,1,0,0,0
2017-04-16,31180,0.2,0,1,0,0,0,1,0,0,0
2017-04-23,39918,0.3,1,0,0,0,0,1,0,0,0
2017-04-30,28519,0.2,0,1,1,0,0,1,0,0,0
2017-05-07,212245,0.5,1,0,0,0,0,1,0,0,0
2017-05-14,46634,0.3,0,0,0,0,0,1,0,0,0
2017-05-21,15816,0.0,1,0,0,0,0,1,0,0,0
2017-05-28,50615,0.3,1,0,1,0,0,1,0,0,0
2017-06-04,55744,0.3,0,1,1,0,0,1,0,0,0
2017-06-11,248373,0.5,1,0,1,0,0,1,0,0,0
2017-06-18,56218,0.3,0,1,1,0,0,1,0,0,0
2017-06-25,88330,0.4,1,0,1,0,0,1,0,0,0
2017-07-02,21719,0.02,0,1,1,0,0,1,0,0,0
2017-07-09,66602,0.3,1,0,1,0,0,1,0,0,0
2017-07-16,37996,0.2,1,0,1,0,0,1,0,0,0
2017-07-23,60173,0.3,1,0,1,0,0,1,0,0,0
2017-07-30,18827,0.0,1,0,0,0,0,1,0,0,0
2017-08-06,52917,0.3,1,0,1,0,0,1,0,0,0
2017-08-13,19315,0.0,1,0,1,0,0,1,0,0,0
2017-08-20,57361,0.3,0,1,1,0,0,1,0,0,0
2017-08-27,236242,0.5,1,0,1,0,0,1,0,0,0
2017-09-03,55091,0.3,1,0,1,0,0,1,0,0,0
2017-09-10,64818,0.3,1,0,1,0,0,1,0,0,0
2017-09-17,63731,0.4,0,1,1,0,0,1,0,0,0
2017-09-24,72851,0.4,1,0,1,0,0,1,0,0,0
2017-10-01,18797,0.02,1,0,1,0,0,1,0,0,0
2017-10-08,52132,0.3,1,0,1,0,0,1,0,0,0
2017-10-15,31259,0.2,0,1,1,0,0,1,0,0,0
2017-10-22,49891,0.3,1,0,1,0,0,1,0,0,0
2017-10-29,16354,0.02,0,1,1,0,0,1,0,0,0
2017-11-05,212947,0.5,1,0,1,0,0,1,0,0,0
2017-11-12,47367,0.3,1,0,1,0,0,1,0,0,0
2017-11-19,29788,0.2,1,0,1,0,0,1,0,0,0
2017-11-26,43078,0.3,0,1,1,0,0,1,0,0,0
2017-12-03,62176,0.4,1,0,1,0,0,1,0,0,0
2017-12-10,15098,0.0,1,0,1,0,0,1,0,0,0
2017-12-17,46362,0.3,1,0,0,0,0,1,0,0,0
2017-12-24,40244,0.3,1,0,1,0,0,1,0,0,0
2017-12-31,10970,0.0,1,0,0,0,0,1,0,0,0
2018-01-07,57707,0.4,1,0,1,0,0,1,0,0,0
2018-01-14,13001,0.02,0,1,0,0,0,1,0,0,0
2018-01-21,60844,0.4,1,0,1,0,0,1,0,0,0
2018-01-28,14766,0.0,1,0,0,0,0,1,0,0,0
2018-02-04,66821,0.4,1,0,1,0,0,1,0,0,0
2018-02-11,14822,0.0,0,1,1,0,0,1,0,0,0
2018-02-18,65917,0.4,1,0,0,0,0,1,0,0,0
2018-02-25,72768,0.4,1,0,1,0,0,1,0,0,0
2018-03-04,15242,0.0,0,1,0,0,0,1,0,0,0
2018-03-11,77546,0.4,1,0,1,0,0,1,0,0,0
2018-03-18,15914,0.0,0,1,0,0,0,1,0,0,0
2018-03-25,81070,0.4,1,0,1,0,0,1,0,0,0
2018-04-01,16298,0.02,1,0,0,0,0,1,0,0,0
2018-04-08,63779,0.4,1,0,1,0,0,1,0,0,0
